Date: 2019-08-01 17:36:32s, Time_Cost: 573s, Epoch: [1/100], Train_PSNR: 29.79, Val_PSNR: 30.13, Val_SSIM: 0.9707
Date: 2019-09-18 18:29:48s, Time_Cost: 4539s, Epoch: [1/100], Train_PSNR: 25.00, Val_PSNR: 24.24, Val_SSIM: 0.8897
Date: 2019-09-18 19:45:30s, Time_Cost: 4542s, Epoch: [2/100], Train_PSNR: 25.69, Val_PSNR: 24.15, Val_SSIM: 0.8871
Date: 2019-09-18 21:00:45s, Time_Cost: 4515s, Epoch: [3/100], Train_PSNR: 26.02, Val_PSNR: 25.95, Val_SSIM: 0.9090
Date: 2019-09-18 22:16:04s, Time_Cost: 4519s, Epoch: [4/100], Train_PSNR: 26.05, Val_PSNR: 24.98, Val_SSIM: 0.9017
Date: 2019-09-18 23:31:15s, Time_Cost: 4511s, Epoch: [5/100], Train_PSNR: 26.38, Val_PSNR: 25.53, Val_SSIM: 0.8988
Date: 2019-09-19 00:46:26s, Time_Cost: 4511s, Epoch: [6/100], Train_PSNR: 26.45, Val_PSNR: 24.88, Val_SSIM: 0.9055
Date: 2019-09-19 02:01:30s, Time_Cost: 4504s, Epoch: [7/100], Train_PSNR: 26.48, Val_PSNR: 26.13, Val_SSIM: 0.9039
Date: 2019-09-19 03:16:38s, Time_Cost: 4508s, Epoch: [8/100], Train_PSNR: 26.55, Val_PSNR: 25.62, Val_SSIM: 0.9102
Date: 2019-09-19 04:31:50s, Time_Cost: 4511s, Epoch: [9/100], Train_PSNR: 26.70, Val_PSNR: 25.79, Val_SSIM: 0.9038
Date: 2019-09-19 05:46:52s, Time_Cost: 4502s, Epoch: [10/100], Train_PSNR: 26.80, Val_PSNR: 25.17, Val_SSIM: 0.8963
Date: 2019-09-19 07:02:10s, Time_Cost: 4518s, Epoch: [11/100], Train_PSNR: 26.81, Val_PSNR: 26.38, Val_SSIM: 0.9124
Date: 2019-09-19 08:21:06s, Time_Cost: 4736s, Epoch: [12/100], Train_PSNR: 27.03, Val_PSNR: 26.56, Val_SSIM: 0.9133
Date: 2019-09-19 09:36:01s, Time_Cost: 4495s, Epoch: [13/100], Train_PSNR: 26.87, Val_PSNR: 27.05, Val_SSIM: 0.9206
Date: 2019-09-19 10:51:23s, Time_Cost: 4522s, Epoch: [14/100], Train_PSNR: 27.05, Val_PSNR: 27.09, Val_SSIM: 0.9172
Date: 2019-09-19 12:06:39s, Time_Cost: 4516s, Epoch: [15/100], Train_PSNR: 26.99, Val_PSNR: 26.66, Val_SSIM: 0.9097
Date: 2019-09-19 13:21:56s, Time_Cost: 4517s, Epoch: [16/100], Train_PSNR: 27.07, Val_PSNR: 26.75, Val_SSIM: 0.9145
Date: 2019-09-19 14:37:22s, Time_Cost: 4526s, Epoch: [17/100], Train_PSNR: 27.21, Val_PSNR: 26.37, Val_SSIM: 0.9123
Date: 2019-09-19 15:52:30s, Time_Cost: 4508s, Epoch: [18/100], Train_PSNR: 27.19, Val_PSNR: 27.11, Val_SSIM: 0.9137
Date: 2019-09-19 17:07:38s, Time_Cost: 4508s, Epoch: [19/100], Train_PSNR: 27.35, Val_PSNR: 26.09, Val_SSIM: 0.9056
Date: 2019-09-19 18:22:46s, Time_Cost: 4509s, Epoch: [20/100], Train_PSNR: 27.34, Val_PSNR: 26.56, Val_SSIM: 0.9079
Date: 2019-09-19 19:37:53s, Time_Cost: 4507s, Epoch: [21/100], Train_PSNR: 28.20, Val_PSNR: 27.94, Val_SSIM: 0.9235
Date: 2019-09-19 20:52:57s, Time_Cost: 4503s, Epoch: [22/100], Train_PSNR: 28.26, Val_PSNR: 28.02, Val_SSIM: 0.9185
Date: 2019-09-19 22:08:08s, Time_Cost: 4511s, Epoch: [23/100], Train_PSNR: 28.31, Val_PSNR: 28.04, Val_SSIM: 0.9257
Date: 2019-09-19 23:23:10s, Time_Cost: 4502s, Epoch: [24/100], Train_PSNR: 28.33, Val_PSNR: 28.04, Val_SSIM: 0.9285
Date: 2019-09-20 00:38:15s, Time_Cost: 4505s, Epoch: [25/100], Train_PSNR: 28.31, Val_PSNR: 27.74, Val_SSIM: 0.9223
Date: 2019-09-20 01:53:26s, Time_Cost: 4511s, Epoch: [26/100], Train_PSNR: 28.34, Val_PSNR: 28.38, Val_SSIM: 0.9266
Date: 2019-09-20 03:08:32s, Time_Cost: 4506s, Epoch: [27/100], Train_PSNR: 28.42, Val_PSNR: 28.06, Val_SSIM: 0.9272
Date: 2019-09-20 04:23:42s, Time_Cost: 4511s, Epoch: [28/100], Train_PSNR: 28.40, Val_PSNR: 27.22, Val_SSIM: 0.9253
Date: 2019-09-20 05:39:01s, Time_Cost: 4518s, Epoch: [29/100], Train_PSNR: 28.47, Val_PSNR: 28.21, Val_SSIM: 0.9275
Date: 2019-09-20 06:54:08s, Time_Cost: 4507s, Epoch: [30/100], Train_PSNR: 28.56, Val_PSNR: 27.43, Val_SSIM: 0.9236
Date: 2019-09-20 08:09:23s, Time_Cost: 4515s, Epoch: [31/100], Train_PSNR: 28.51, Val_PSNR: 27.33, Val_SSIM: 0.9176
Date: 2019-09-20 09:24:33s, Time_Cost: 4511s, Epoch: [32/100], Train_PSNR: 28.57, Val_PSNR: 28.22, Val_SSIM: 0.9236
Date: 2019-09-20 10:39:46s, Time_Cost: 4513s, Epoch: [33/100], Train_PSNR: 28.61, Val_PSNR: 26.82, Val_SSIM: 0.9232
Date: 2019-09-20 11:54:59s, Time_Cost: 4514s, Epoch: [34/100], Train_PSNR: 28.54, Val_PSNR: 27.31, Val_SSIM: 0.9161
Date: 2019-09-20 13:10:08s, Time_Cost: 4509s, Epoch: [35/100], Train_PSNR: 28.68, Val_PSNR: 28.19, Val_SSIM: 0.9261
Date: 2019-09-20 14:25:19s, Time_Cost: 4511s, Epoch: [36/100], Train_PSNR: 28.66, Val_PSNR: 28.51, Val_SSIM: 0.9286
Date: 2019-09-20 15:41:20s, Time_Cost: 4562s, Epoch: [37/100], Train_PSNR: 28.68, Val_PSNR: 28.35, Val_SSIM: 0.9286
Date: 2019-09-20 16:56:53s, Time_Cost: 4533s, Epoch: [38/100], Train_PSNR: 28.71, Val_PSNR: 28.27, Val_SSIM: 0.9241
Date: 2019-09-20 18:12:29s, Time_Cost: 4536s, Epoch: [39/100], Train_PSNR: 28.78, Val_PSNR: 28.63, Val_SSIM: 0.9298
Date: 2019-09-20 19:29:21s, Time_Cost: 4612s, Epoch: [40/100], Train_PSNR: 28.74, Val_PSNR: 28.48, Val_SSIM: 0.9283
Date: 2019-09-20 20:44:25s, Time_Cost: 4504s, Epoch: [41/100], Train_PSNR: 29.26, Val_PSNR: 28.76, Val_SSIM: 0.9246
Date: 2019-09-20 22:01:05s, Time_Cost: 4600s, Epoch: [42/100], Train_PSNR: 29.30, Val_PSNR: 28.73, Val_SSIM: 0.9264
